Sütun1;id;fiyat;oda_salon_sayisi;net_m2;bina_yasi;isinma_tipi;krediye_uygunluk;bulundugu_kat;banyo_sayisi;ilce;nüfus;eðitim;okuma_yazma_bilmeyen
3202;3202;350000;3;72;0;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
4871;4871;348000;3;90;25;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3870;3870;1270000;5;200;4;Merkezi(PayÖlçer);Uygun;6. Kat;2;Keçiören;938565;Lise;1,43
3338;3338;650000;4;130;20;Merkezi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
1684;1684;440000;5;150;0;Kombi;Uygun;Yüksek Giriþ;3;Çankaya;925828;Lisans;0,7
2432;2432;1600000;5;170;0;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
165;165;308000;3;70;20;Kombi;Uygun;Giriþ Katý;1;Keçiören;938565;Lise;1,43
167;167;450000;4;120;20;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
718;718;269000;4;120;22;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
4042;4042;235000;4;120;17;Kombi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
1025;1025;7500000;;1;1;Merkezi(PayÖlçer);Uygun;21 ve üzeri;7;Keçiören;938565;Lise;1,43
539;539;230000;2;35;35;Merkezi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
4568;4568;1575000;5;200;5;Merkezi;Uygun;10. Kat;3;Keçiören;938565;Lise;1,43
1036;1036;335000;4;125;0;Merkezi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
4807;4807;735000;5;135;1;Kombi;Uygun;5. Kat;1;Çankaya;925828;Lisans;0,7
3795;3795;1480000;5;180;12;Kombi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
1634;1634;199000;3;90;0;Kombi;Uygun;Giriþ Katý;1;Sincan;549108;Lise;1,44
465;465;465000;3;95;16;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
1097;1097;935000;3;110;3;Merkezi(PayÖlçer);Uygun;21 ve üzeri;1;Çankaya;925828;Lisans;0,7
2182;2182;445000;4;118;20;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2380;2380;940000;6;170;20;Merkezi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
2091;2091;650000;5;175;0;Merkezi(PayÖlçer);Uygun;9. Kat;2;Sincan;549108;Lise;1,44
4047;4047;339000;4;103;0;Merkezi(PayÖlçer);Uygun deðil;1. Kat;1;Sincan;549108;Lise;1,44
491;491;198000;32;90;25;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
2725;2725;1140000;4;140;12;Merkezi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
2107;2107;335000;2;70;25;Merkezi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
3182;3182;950000;5;165;12;Kombi;Uygun;Yüksek Giriþ;2;Çankaya;925828;Lisans;0,7
4956;4956;6,25E+05;4;140;19;Merkezi;Uygun;7. Kat;2;Keçiören;938565;Lise;1,43
3782;3782;6,90E+05;5;140;0;Kombi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
264;264;625000;6;225;14;Kombi;Uygun;4. Kat;3;Çankaya;925828;Lisans;0,7
577;577;270000;37;105;30;Merkezi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
4297;4297;349000;3;115;18;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
3937;3937;250000;4;130;0;Kombi;Uygun;4. Kat;2;Sincan;549108;Lise;1,44
4497;4497;270000;4;100;0;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
2668;2668;289000;3;110;20;Kombi;Uygun;Bahçe Katý;2;Keçiören;938565;Lise;1,43
1897;1897;395000;3;95;20;Kombi;Uygun;7. Kat;1;Keçiören;938565;Lise;1,43
3874;3874;530000;4;125;18;Merkezi;Uygun;7. Kat;1;Çankaya;925828;Lisans;0,7
1375;1375;2275000;7;350;17;Merkezi;Uygun;10. Kat;4;Çankaya;925828;Lisans;0,7
2642;2642;305000;3;100;25;Kombi;Uygun deðil;2. Kat;1;Çankaya;925828;Lisans;0,7
997;997;640000;5;160;0;Merkezi(PayÖlçer);Uygun;2. Kat;2;Sincan;549108;Lise;1,44
880;880;2200000;5;165;0;Merkezi;Uygun deðil;7. Kat;2;Çankaya;925828;Lisans;0,7
1717;1717;1150000;3;80;13;Kombi;Uygun deðil;5. Kat;1;Keçiören;938565;Lise;1,43
2188;2188;358;4;-48;24;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1560;1560;235000;3;90;20;Kombi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
210;210;310000;4;120;7;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
4556;4556;620000;4;134;36;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4936;4936;960000;5;180;15;Merkezi;Uygun;8. Kat;2;Keçiören;938565;Lise;1,43
1121;1121;173000;4;85;25;Kombi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
1907;1907;370000;2;65;0;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
4598;4598;260000;4;110;20;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
3464;3464;975000;8;330;10;Kombi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
3081;3081;495000;4;135;13;Kombi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
552;552;725000;4;150;30;Merkezi;Uygun;2. Kat;1;Keçiören;938565;liS3;1,43
4623;4623;265000;4;125;5;Kombi;Uygun;Kot 3;1;Mamak;669465;Lise;1,9
1965;1965;395000;3;90;20;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
394;394;2299000;4;140;12;Merkezi(PayÖlçer);Uygun;21 ve üzeri;2;Çankaya;925828;Lisans;0,7
2052;2052;379000;4;100;15;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
1509;1509;184000;4;115;22;Kombi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
4314;4314;589000;4;145;13;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3460;3460;9,70E+05;4;110;1;Kombi;Uygun;Yüksek Giriþ;21;Keçiören;938565;Lise;1,43
2861;2861;735000;4;110;45;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2067;2067;725000;4;130;15;Merkezi;Uygun;Yüksek Giriþ;2;Çankaya;925828;Lisans;0,7
3925;3925;247000;4;110;15;Kombi;Uygun;Yüksek Giriþ;1;Sincan;549108;Lise;1,44
3878;3878;500000;4;160;1;Kombi;Uygun;En Üst Kat;2;Keçiören;938565;Lise;1,43
1245;1245;1375000;5;250;38;Merkezi;Uygun;5. Kat;1;Çankaya;925828;Lisans;0,7
2782;2782;150000;4;135;2;Kombi;Uygun;Yüksek Giriþ;2;Sincan;549108;Lise;1,44
2159;2159;480000;4;120;22;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
2885;2885;350000;3;85;7;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
3007;3007;260000;4;100;26;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
3692;3692;479000;4;120;27;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3802;3802;540000;3;90;30;Kombi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
3267;3267;600000;4;156;16;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
4005;4005;190000;3;75;30;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
417;417;950000;5;160;0;Kombi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
370;370;315000;4;125;55;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
2768;2768;650000;4;145;30;Merkezi;Uygun;Giriþ Katý;2;Keçiören;938565;Lise;1,43
2949;2949;150000;3;65;45;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
3296;3296;279000;4;100;25;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
1064;1064;320000;3;104;10;Merkezi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
1046;1046;350000;4;103;0;Merkezi(PayÖlçer);Uygun;4. Kat;1;Sincan;549108;Lise;1,44
4418;4418;529000;5;200;25;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
2643;2643;575000;4;120;40;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
2696;2696;1100000;4;120;0;Kombi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
3412;3412;349000;4;120;27;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
939;939;419000;3;100;25;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
4243;4243;435000;3;85;20;Merkezi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
3207;3207;595000;4;110;35;Kombi;Uygun;3. Kat;1;Çankaya;;Lisans;0,7
4500;4500;600000;4;135;15;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
1942;1942;425000;3;110;22;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
2342;2342;415000;4;130;15;Kombi;Uygun;Yüksek Giriþ;2;Çankaya;925828;Lisans;0,7
2206;2206;455000;4;105;22;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
564;564;435000;4;130;23;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
3138;3138;419000;4;120;20;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
4785;4785;239000;4;115;12;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
1268;1268;960000;5;180;16;Merkezi;Uygun;8. Kat;1;Keçiören;938565;Lise;1,43
843;843;600000;5;155;0;Kombi;Uygun;3. Kat;2;Sincan;549108;Lise;1,44
626;626;750000;4;130;45;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
4076;4076;1250000;5;180;0;Kombi;Uygun;3. Kat;3;Keçiören;938565;Lise;1,43
925;925;400000;2;50;0;Merkezi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
4342;4342;550000;4;110;14;Kombi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
1043;1043;1250000;5;179;0;Merkezi(PayÖlçer);Uygun;Ara Kat;2;Çankaya;925828;Lisans;0,7
4152;4152;480000;4;145;10;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
3702;3702;249000;4;115;25;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
2121;2121;277500;4;125;4;Kombi;Uygun;1. Kat;2;Sincan;549108;Lise;1,44
829;829;295000;3;92;19;Kombi;Uygun;En Üst Kat;1;Keçiören;938565;Lise;1,43
356;356;260000;4;100;12;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
181;181;4,15E+05;5;130;0;Kombi;Uygun;2. Kat;2;Sincan;549108;Lise;1,44
146;146;4,50E+05;4;110;1;Kombi;Uygun;Kot 1;2;Keçiören;938565;Lise;1,43
1283;1283;695000;4;110;35;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4550;4550;1350000;5;150;0;Kombi;Uygun;4. Kat;3;Çankaya;925828;Lisans;0,7
2753;2753;709000;5;155;16;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
3566;3566;2099000;5;178;12;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
2573;2573;3,30E+05;4;110;25;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
81;81;3,90E+05;4;90;45;Merkezi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
163;163;659000;4;125;26;Merkezi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
1742;1742;215000;3;50;13;Kombi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
3239;3239;419000;4;110;25;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
1849;1849;545000;4;125;20;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
1000;1000;550000;5;150;0;Kombi;Uygun;Kot 2;2;Çankaya;925828;Lisans;0,7
818;818;639000;5;145;22;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
3615;3615;379000;4;125;23;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1584;1584;650000;4;145;14;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
2967;2967;295000;3;80;50;Merkezi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
1665;1665;189000;4;100;20;Kombi;Uygun;Giriþ Katý;1;Sincan;549108;Lise;1,44
4846;4846;365000;4;110;20;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
1939;1939;550000;4;100;32;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
1771;1771;595000;3;100;4;Kombi;Uygun;En Üst Kat;1;Keçiören;938565;Lise;1,43
3621;3621;1500000;5;185;0;Merkezi(PayÖlçer);Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
3414;3414;620000;4;125;35;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
4139;4139;435000;4;125;22;Kombi;Uygun;Yüksek Giriþ;2;Çankaya;925828;Lisans;0,7
4083;4083;459000;4;120;25;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
2375;2375;330000;4;110;0;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
26;26;269000;4;110;12;Kombi;Uygun;3. Kat;2;Sincan;549108;Lise;1,44
3231;3231;335000;2;70;25;Merkezi;Uygun;Kot 2;1;Çankaya;925828;Lisans;0,7
1475;1475;180000;3;60;30;Kombi;Uygun;Giriþ Katý;1;Keçiören;938565;Lise;1,43
2036;2036;595000;3;65;4;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
4503;4503;450000;6;155;18;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
3322;3322;450000;4;122;0;KatKaloriferi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
3806;3806;300000;3;85;12;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
2500;2500;278000;4;110;25;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
801;801;945;4;120;0;Merkezi(PayÖlçer);;9. Kat;2;Çankaya;925828;Lisans;0,7
119;119;390000;4;90;30;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
2387;2387;2299000;4;140;12;Merkezi(PayÖlçer);Uygun;21 ve üzeri;2;Keçiören;938565;Lise;1,43
3713;3713;7,79E+05;5;165;15;Kombi;Uygun;5. Kat;2;Keçiören;938565;Lise;1,43
231;231;338000;4;120;15;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
2872;2872;630000;6;230;11;Kombi;Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
2539;2539;389000;4;105;25;Merkezi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
1516;1516;620000;4;115;30;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
4653;4653;725000;4;154;36;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
2989;2989;345000;4;120;5;Kombi;Uygun;Kot 2;1;Mamak;669465;Lise;1,9
795;795;620000;4;120;27;Merkezi(PayÖlçer);Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
4019;4019;288000;3;110;12;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
1801;1801;380000;4;160;8;Kombi;Uygun;En Üst Kat;2;Çankaya;925828;Lisans;0,7
3637;3637;1025000;4;115;0;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
2273;2273;5,70E+05;4;125;14;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
3850;3850;280000;4;100;15;Kombi;Uygun;Kot 2;1;Çankaya;925828;Lisans;0,7
2027;2027;2,20E+05;4;115;16;Kombi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
1915;1915;215000;4;110;15;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
2327;2327;348000;3;90;18;Kombi;Uygun;Giriþ Katý;1;Keçiören;938565;Lise;1,43
3611;3611;680000;4;110;23;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
691;691;725000;4;135;24;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
2830;2830;850000;4;180;0;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
4853;4853;550000;4;90;22;Kombi;Uygun;5. Kat;1;Keçiören;938565;Lise;1,43
1589;1589;560000;4;110;35;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
1724;1724;720000;3;80;0;Kombi;Uygun;2. Kat;1;Çankaya;925828;liSans;0,7
4914;4914;209000;3;120;20;Kombi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
305;305;409000;4;125;22;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4845;4845;725000;2;62;1;Merkezi;Uygun;19. Kat;1;Keçiören;938565;Lise;1,43
1947;1947;348000;3;100;21;Kombi;Uygun;Giriþ Katý;1;Keçiören;938565;Lise;1,43
1976;1976;900000;5;160;20;Merkezi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
105;105;600000;4;126;0;Merkezi(PayÖlçer);Uygun deðil;5. Kat;2;Sincan;549108;Lise;1,44
3190;3190;1500000;3;105;0;Merkezi(PayÖlçer);Uygun;13. Kat;2;Çankaya;925828;Lisans;0,7
2243;2243;750000;4;-42;14;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
2045;2045;475000;5;180;20;Kombi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
4191;4191;315000;4;100;30;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
138;138;480000;4;100;5;Merkezi(PayÖlçer);Uygun;5. Kat;1;Keçiören;938565;Lise;1,43
1659;1659;1000000;4;145;0;Kombi;Uygun;Teras Katý;2;Çankaya;925828;Lisans;0,7
486;486;660000;4;130;30;Merkezi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
2455;2455;259000;4;110;25;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
4468;4468;580000;4;110;35;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
1650;1650;490000;3;100;4;Kombi;Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
4058;4058;620000;4;134;36;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3909;3909;1450000;5;200;2;Kombi;Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
218;218;510000;5;150;15;Kombi;Uygun;Kot 1;2;Keçiören;938565;Lise;1,43
2343;2343;850000;6;200;20;Kombi;Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
2632;2632;950000;4;150;20;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
1224;1224;715000;4;120;25;Kombi;Uygun;En Üst Kat;2;Çankaya;925828;Lisans;0,7
802;802;779000;5;165;15;Merkezi;Uygun;5. Kat;2;Keçiören;938565;Lise;1,43
607;607;520000;4;110;35;Merkezi;Uygun;4. Kat;1;Çankaya;925828;Lisans;0,7
541;541;510000;4;125;40;Merkezi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
4197;4197;325000;4;100;5;Kombi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
2884;2884;239000;4;140;20;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
2998;2998;1150000;4;140;17;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
4557;4557;569000;3;95;0;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
1766;1766;200000;3;70;29;Kombi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
1784;1784;545000;4;115;25;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
1503;1503;1500000;6;260;20;Kombi;Uygun;2. Kat;2;Çankaya;925828;Lisans;0,7
785;785;348000;3;100;26;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
2656;2656;950000;5;135;0;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
1362;1362;309000;4;100;0;Merkezi(PayÖlçer);Uygun;5. Kat;1;Sincan;549108;Lise;1,44
1690;1690;1100000;3;115;0;Merkezi(PayÖlçer);Uygun;Teras Katý;2;Keçiören;938565;Lise;1,43
3647;3647;4,45E+05;4;110;25;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3408;3408;265000;3;95;25;Merkezi;Uygun;Giriþ Katý;1;Keçiören;938565;Lise;1,43
505;505;429000;4;120;25;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
467;467;385000;4;115;25;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
807;807;3,95E+05;3;75;0;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
842;842;465000;4;135;20;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2922;2922;1620000;5;166;0;Merkezi(PayÖlçer);Uygun;6. Kat;2;Çankaya;925828;Lisans;0,7
1919;1919;389000;4;120;22;Kombi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
2851;2851;458000;4;155;0;Kombi;Uygun;1. Kat;2;Sincan;549108;Lise;0
1027;1027;680000;4;110;20;Kombi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
3424;3424;427000;3;85;30;Kombi;Uygun;13. Kat;1;Keçiören;938565;Lise;1,43
2933;2933;680000;4;140;0;Kombi;Uygun;6. Kat;2;Mamak;669465;Lise;1,9
1940;1940;900000;5;160;15;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
1545;1545;185000;3;80;22;Kombi;Uygun;Giriþ Katý;12;Keçiören;938565;Lise;1,43
1767;1767;415000;2;54;40;Merkezi;Uygun deðil;Giriþ Katý;1;Keçiören;938565;Lise;1,43
1845;1845;398000;3;90;30;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
4896;4896;928000;5;180;20;Kombi;Uygun;Ara Kat;2;Keçiören;938565;Lise;1,43
1205;1205;340000;;;36;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
16;16;790;3;100;0;Merkezi(PayÖlçer);Uygun;Bahçe Katý;2;Keçiören;938565;Lise;1,43
1118;1118;238000;4;110;22;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
2014;2014;1500000;4;110;0;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
879;879;450000;4;110;1;Kombi;Uygun;Kot 1;2;Çankaya;925828;Lisans;0,7
4950;4950;1500000;4;140;0;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
900;900;225000;3;90;22;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
4676;4676;295000;4;105;29;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
4109;4109;1100000;3;93;0;Merkezi(PayÖlçer);Uygun;19. Kat;2;cankaya;925828;Lisans;0,7
1790;1790;465000;2;85;8;Merkezi(PayÖlçer);Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
3396;3396;1,02E+06;4;100;0;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
435;435;725000;5;210;11;Kombi;Uygun;En Üst Kat;1;Keçiören;938565;Lise;1,43
4107;4107;535000;3;66;0;Merkezi(PayÖlçer);Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
1013;1013;250000;3;90;25;Merkezi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
1077;1077;645000;4;130;35;Merkezi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
2016;2016;520000;4;110;35;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
2335;2335;150000;4;140;18;Kombi;Uygun;Bodrum;1;Sincan;549108;Lise;1,44
1656;1656;649000;3;95;3;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1758;1758;1450000;6;220;0;Merkezi(PayÖlçer);Uygun;21 ve üzeri;2;Çankaya;925828;Lisans;0,7
1864;1864;785000;6;190;18;Merkezi;Uygun;10. Kat;3;Keçiören;938565;Lise;1,43
995;995;620000;6;210;13;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
3469;3469;200000;4;105;26;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
988;988;1620000;5;166;0;Merkezi(PayÖlçer);Uygun;6. Kat;2;Çankaya;925828;Lisans;0,7
152;152;550000;4;120;25;Merkezi;Uygun;5. Kat;1;Keçiören;938565;Lise;1,43
3145;3145;540000;5;155;8;Kombi;Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
1437;1437;155000;3;90;23;Kombi;Uygun;Yüksek Giriþ;1;Sincan;549108;Lise;1,44
2339;2339;850000;3;85;0;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
1846;1846;385000;4;110;25;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
2356;2356;730000;4;138;3;Merkezi(PayÖlçer);Uygun;5. Kat;1;Keçiören;938565;Lise;1,43
815;815;195000;4;120;18;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
2383;2383;550000;4;120;25;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
2352;2352;420000;4;120;28;Merkezi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
455;455;310000;4;120;25;Kombi;Uygun;4. Kat;1;Sincan;549108;Lise;1,44
2671;2671;4,39E+05;4;120;25;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
924;924;348000;3;100;23;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
1326;1326;239000;4;115;22;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
3897;3897;178000;3;90;25;Kombi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
2132;2132;169000;3;90;0;Kombi;Uygun;Giriþ Katý;1;Sincan;549108;Lise;1,44
4741;4741;275000;4;110;25;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
2321;2321;568000;4;125;25;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1164;1164;335000;4;100;40;Merkezi;Uygun;Bahçe Katý;1;Çankaya;925828;Lisans;0,7
1746;1746;875000;4;135;5;Kombi;Uygun;5. Kat;2;Keçiören;938565;Lise;1,43
4755;4755;370000;3;90;20;Merkezi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
2512;2512;425000;3;80;25;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4600;4600;445000;4;110;30;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
895;895;385000;4;135;15;Kombi;Uygun;Yüksek Giriþ;2;Çankaya;925828;Lisans;0,7
2942;2942;359000;4;115;28;Merkezi;Uygun;Kot 2;1;Keçiören;938565;Lise;1,43
1018;1018;695000;5;150;8;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
